id,ticker,dir,entry_utc,exit_utc,entry_px,exit_px,why,pnl
119,AAPL,1,2026-07-16T13:46:00Z,2026-07-16T13:52:00Z,329.455,329.9599021387944,TARGET,0.15325374900803473
120,SPY,-1,2026-07-16T13:48:00Z,2026-07-16T14:09:00Z,750.925,753.519,STOP,-0.34544062323135477
121,QQQ,-1,2026-07-16T13:48:00Z,2026-07-16T17:40:00Z,707.65,706.957940095734,TARGET,0.09779691998388876
122,AAPL,1,2026-07-16T13:52:00Z,2026-07-16T13:54:00Z,329.72,330.2704631182987,TARGET,0.16694865895265498
123,TSLA,-1,2026-07-16T13:54:00Z,2026-07-16T14:13:00Z,385.71,392.5,STOP,-1.7603899302584898
124,AAPL,1,2026-07-16T13:58:00Z,2026-07-16T13:59:00Z,330.395,330.88762936234343,TARGET,0.14910315299670102
125,AAPL,1,2026-07-16T13:59:00Z,2026-07-16T15:41:00Z,331.15,331.6481558364618,TARGET,0.15043208106955142
126,TSLA,1,2026-07-16T14:13:00Z,2026-07-16T14:19:00Z,392.945,393.74668813048055,TARGET,0.20402044318684714
127,TSLA,1,2026-07-16T14:19:00Z,2026-07-16T14:28:00Z,393.85,394.6206032266592,TARGET,0.1956590647858841
128,NVDA,-1,2026-07-16T14:50:00Z,2026-07-16T14:53:00Z,206.95,206.6753667447034,TARGET,0.13270512456949904
129,NVDA,-1,2026-07-16T14:53:00Z,2026-07-16T14:55:00Z,206.37,206.068267852811,TARGET,0.14620930716140912
130,AAPL,1,2026-07-16T15:51:00Z,2026-07-16T15:54:00Z,332.0099,332.21803601993736,TARGET,0.06268970290866088
131,AAPL,1,2026-07-16T15:54:00Z,2026-07-16T17:21:00Z,332.2399,332.4592012521145,TARGET,0.06600689806206879
132,AAPL,1,2026-07-16T17:22:00Z,2026-07-16T17:25:00Z,332.59,332.7777665691921,TARGET,0.05645586734181705
133,AAPL,1,2026-07-16T17:27:00Z,2026-07-16T17:32:00Z,332.82,333.008366994965,TARGET,0.05659725826723407
134,AAPL,1,2026-07-16T17:32:00Z,2026-07-16T17:34:00Z,333.03,333.21698538813166,TARGET,0.05614670994555702
135,AAPL,1,2026-07-16T17:34:00Z,2026-07-16T17:36:00Z,333.225,333.4242629111952,TARGET,0.05979830780859945
136,QQQ,-1,2026-07-16T17:40:00Z,2026-07-16T17:41:00Z,706.8,706.4980023088834,TARGET,0.04272746054280219
137,QQQ,-1,2026-07-16T17:41:00Z,2026-07-16T17:45:00Z,706.59,706.2854664296775,TARGET,0.04309904899906864
138,QQQ,-1,2026-07-16T17:45:00Z,2026-07-16T18:40:00Z,706.2,705.9011766581117,TARGET,0.04231426534810974
139,SPY,-1,2026-07-16T18:07:00Z,2026-07-16T18:08:00Z,750.675,750.4842791041987,TARGET,0.025406586845344737
140,SPY,-1,2026-07-16T18:36:00Z,2026-07-16T18:40:00Z,750.44,750.2398349055044,TARGET,0.026673031087851615
141,QQQ,-1,2026-07-16T18:40:00Z,2026-07-16T19:07:00Z,705.695,705.370544570304,TARGET,0.045976722195290975
142,SPY,-1,2026-07-16T18:40:00Z,2026-07-16T19:08:00Z,750.075,749.8691981787825,TARGET,0.027437499079092844
143,QQQ,-1,2026-07-16T19:07:00Z,2026-07-16T19:12:00Z,705.34,704.9960903327684,TARGET,0.04875799858672813
144,SPY,-1,2026-07-16T19:09:00Z,2026-07-16T19:17:00Z,749.76,749.5546145647652,TARGET,0.027393490614970466
145,SPY,-1,2026-07-16T19:17:00Z,2026-07-16T19:25:00Z,749.5,749.3157678002173,TARGET,0.02458068042464859
146,SPY,-1,2026-07-16T19:25:00Z,2026-07-16T19:26:00Z,749.32,749.1351995872021,TARGET,0.024662415629894647
147,QQQ,-1,2026-07-17T13:35:00Z,2026-07-17T13:38:00Z,689.93,688.8691188694615,TARGET,0.15376648798260767
148,SPY,-1,2026-07-17T13:35:00Z,2026-07-17T13:41:00Z,740.89,742.62,STOP,-0.2335029491557476
149,NVDA,-1,2026-07-17T13:37:00Z,2026-07-17T13:41:00Z,199.76,199.22756729106587,TARGET,0.26653619790454736
150,QQQ,-1,2026-07-17T13:38:00Z,2026-07-17T13:42:00Z,688.5,687.5026332839676,TARGET,0.14486081569097872
151,TSLA,-1,2026-07-17T13:39:00Z,2026-07-17T13:43:00Z,378.38,377.2316613526326,TARGET,0.3034881989976695
152,AAPL,1,2026-07-17T13:39:00Z,2026-07-17T13:51:00Z,334.96,331.295,STOP,-1.0941604967757237
153,NVDA,-1,2026-07-17T13:41:00Z,2026-07-17T13:42:00Z,199.115,198.60615396319588,TARGET,0.25555384416248383
154,NVDA,-1,2026-07-17T13:42:00Z,2026-07-17T14:05:00Z,198.3357,203.47,STOP,-2.588691798803743
155,QQQ,-1,2026-07-17T13:42:00Z,2026-07-17T14:00:00Z,687.46,693.54,STOP,-0.884415093241778
156,SPY,1,2026-07-17T13:47:00Z,2026-07-17T13:50:00Z,742.68,743.251990406216,TARGET,0.07701707413907194
157,SPY,1,2026-07-17T13:50:00Z,2026-07-17T13:53:00Z,743.2,743.7218910978341,TARGET,0.07022216063429763
158,SPY,1,2026-07-17T13:53:00Z,2026-07-17T13:58:00Z,743.985,744.4902203870049,TARGET,0.06790733509477974
159,SPY,1,2026-07-17T13:58:00Z,2026-07-17T14:00:00Z,744.765,745.2284973860449,TARGET,0.062234045107500774
160,SPY,1,2026-07-17T14:00:00Z,2026-07-17T14:05:00Z,745.6,746.0614413685796,TARGET,0.061888595571296307
161,AAPL,-1,2026-07-17T14:00:00Z,2026-07-17T14:01:00Z,330.49,329.8811577364707,TARGET,0.18422411072326283
162,QQQ,1,2026-07-17T14:00:00Z,2026-07-17T14:03:00Z,694.76,695.5793425107812,TARGET,0.11793173337284986
163,NVDA,1,2026-07-17T14:05:00Z,2026-07-17T14:06:00Z,203.515,203.966583376059,TARGET,0.22189193723263917
164,NVDA,1,2026-07-17T14:06:00Z,2026-07-17T14:07:00Z,204.265,204.73361313491193,TARGET,0.2294143073516989
165,SPY,1,2026-07-17T14:06:00Z,2026-07-17T14:10:00Z,746.25,746.7026854651047,TARGET,0.060661368858244635
166,QQQ,1,2026-07-17T14:06:00Z,2026-07-17T14:10:00Z,696.3,697.1345155363653,TARGET,0.11984999804183571
167,NVDA,1,2026-07-17T14:07:00Z,2026-07-17T14:10:00Z,204.5501,205.01872291098965,TARGET,0.22909933116124892
168,AAPL,-1,2026-07-17T14:10:00Z,2026-07-17T14:33:00Z,329.095,333.51,STOP,-1.3415579088105147
169,QQQ,1,2026-07-17T14:10:00Z,2026-07-17T14:39:00Z,697.755,698.5437559202969,TARGET,0.11304195889630622
170,SPY,1,2026-07-17T14:10:00Z,2026-07-17T14:15:00Z,746.605,747.0206360193371,TARGET,0.05567013606084306
171,NVDA,1,2026-07-17T14:10:00Z,2026-07-17T14:17:00Z,205.4046,205.86913281175083,TARGET,0.22615501880232614
172,SPY,1,2026-07-17T14:15:00Z,2026-07-17T19:55:00Z,746.94,744.0296,EOD,-0.3896430770878645
173,QQQ,1,2026-07-17T14:39:00Z,2026-07-17T15:57:00Z,698.52,699.2524092113398,TARGET,0.10485157351826917
174,QQQ,1,2026-07-17T15:58:00Z,2026-07-17T16:00:00Z,699.4,699.8770176860196,TARGET,0.06820384415493588
175,TSLA,1,2026-07-17T16:10:00Z,2026-07-17T16:16:00Z,383.63,384.1169610712756,TARGET,0.12693508622256597
176,QQQ,1,2026-07-17T16:44:00Z,2026-07-17T16:47:00Z,700.41,700.8429884830322,TARGET,0.06181928913524998
177,TSLA,1,2026-07-17T16:47:00Z,2026-07-17T16:48:00Z,384.5501,384.9284150268819,TARGET,0.0983786057738436
178,QQQ,1,2026-07-17T16:47:00Z,2026-07-17T16:50:00Z,700.82,701.2221130456348,TARGET,0.057377507153733034
179,TSLA,1,2026-07-17T16:48:00Z,2026-07-17T17:08:00Z,384.99,385.37717466781896,TARGET,0.10056746092598609
180,NVDA,1,2026-07-17T17:06:00Z,2026-07-17T17:08:00Z,206.28,206.46581086824122,TARGET,0.09007701582374414
181,NVDA,1,2026-07-17T17:08:00Z,2026-07-17T19:55:00Z,206.51,203.5072,EOD,-1.4540700208222264
182,TSLA,1,2026-07-17T17:08:00Z,2026-07-17T17:11:00Z,385.37,385.67924772234693,TARGET,0.08024696326826804
